Filter,Reduction,Model,Accuracy,F1_Score
RFE,PCA,SVM_0.5,NaN,NaN
RFE,PCA,SVM_1,NaN,NaN
RFE,LDA,NeuralNetwork_100,NaN,NaN
RFE,LDA,KNN_10,NaN,NaN
RFE,LDA,KNN_20,NaN,NaN
RFE,LDA,NeuralNetwork_50,NaN,NaN
RFE,LDA,NeuralNetwork_100_50,NaN,NaN
RFE,LDA,SVM_0.1,NaN,NaN
RFE,LDA,KNN_1,NaN,NaN
RFE,LDA,SVM_0.5,NaN,NaN
RFE,LDA,SVM_1,NaN,NaN
RFE,Sin reducción,NeuralNetwork_100,NaN,NaN
RFE,Sin reducción,KNN_10,NaN,NaN
RFE,Sin reducción,KNN_20,NaN,NaN
RFE,Sin reducción,NeuralNetwork_50,NaN,NaN
RFE,Sin reducción,NeuralNetwork_100_50,NaN,NaN
RFE,Sin reducción,SVM_0.1,NaN,NaN
RFE,Sin reducción,KNN_1,NaN,NaN
RFE,Sin reducción,SVM_0.5,NaN,NaN
RFE,Sin reducción,SVM_1,NaN,NaN
Kendall,ICA,NeuralNetwork_100,NaN,NaN
Kendall,ICA,KNN_10,NaN,NaN
Kendall,ICA,KNN_20,NaN,NaN
Kendall,ICA,NeuralNetwork_50,NaN,NaN
Kendall,ICA,NeuralNetwork_100_50,NaN,NaN
Kendall,ICA,SVM_0.1,NaN,NaN
Kendall,ICA,KNN_1,NaN,NaN
Kendall,ICA,SVM_0.5,NaN,NaN
Kendall,ICA,SVM_1,NaN,NaN
Kendall,PCA,NeuralNetwork_100,NaN,NaN
Kendall,PCA,KNN_10,NaN,NaN
Kendall,PCA,KNN_20,NaN,NaN
Kendall,PCA,NeuralNetwork_50,NaN,NaN
Kendall,PCA,NeuralNetwork_100_50,NaN,NaN
Kendall,PCA,SVM_0.1,NaN,NaN
Kendall,PCA,KNN_1,NaN,NaN
Kendall,PCA,SVM_0.5,NaN,NaN
Kendall,PCA,SVM_1,NaN,NaN
Kendall,LDA,NeuralNetwork_100,NaN,NaN
Kendall,LDA,KNN_10,NaN,NaN
Kendall,LDA,KNN_20,NaN,NaN
Kendall,LDA,NeuralNetwork_50,NaN,NaN
Kendall,LDA,NeuralNetwork_100_50,NaN,NaN
Kendall,LDA,SVM_0.1,NaN,NaN
Kendall,LDA,KNN_1,NaN,NaN
Kendall,LDA,SVM_0.5,NaN,NaN
Kendall,LDA,SVM_1,NaN,NaN
Kendall,Sin reducción,NeuralNetwork_100,NaN,NaN
Kendall,Sin reducción,KNN_10,NaN,NaN
Kendall,Sin reducción,KNN_20,NaN,NaN
Kendall,Sin reducción,NeuralNetwork_50,NaN,NaN
Kendall,Sin reducción,NeuralNetwork_100_50,NaN,NaN
Kendall,Sin reducción,SVM_0.1,NaN,NaN
Kendall,Sin reducción,KNN_1,NaN,NaN
Kendall,Sin reducción,SVM_0.5,NaN,NaN
Kendall,Sin reducción,SVM_1,NaN,NaN
Spearman,ICA,NeuralNetwork_100,NaN,NaN
Spearman,ICA,KNN_10,NaN,NaN
Spearman,ICA,KNN_20,NaN,NaN
Spearman,ICA,NeuralNetwork_50,NaN,NaN
Spearman,ICA,NeuralNetwork_100_50,NaN,NaN
Spearman,ICA,SVM_0.1,NaN,NaN
Spearman,ICA,KNN_1,NaN,NaN
Spearman,ICA,SVM_0.5,NaN,NaN
Spearman,ICA,SVM_1,NaN,NaN
Spearman,PCA,NeuralNetwork_100,NaN,NaN
Spearman,PCA,KNN_10,NaN,NaN
Spearman,PCA,KNN_20,NaN,NaN
Spearman,PCA,NeuralNetwork_50,NaN,NaN
Spearman,PCA,NeuralNetwork_100_50,NaN,NaN
Spearman,PCA,SVM_0.1,NaN,NaN
Spearman,PCA,KNN_1,NaN,NaN
Spearman,PCA,SVM_0.5,NaN,NaN
Spearman,PCA,SVM_1,NaN,NaN
Spearman,LDA,NeuralNetwork_100,NaN,NaN
Spearman,LDA,KNN_10,NaN,NaN
Spearman,LDA,KNN_20,NaN,NaN
Spearman,LDA,NeuralNetwork_50,NaN,NaN
Spearman,LDA,NeuralNetwork_100_50,NaN,NaN
Spearman,LDA,SVM_0.1,NaN,NaN
Spearman,LDA,KNN_1,NaN,NaN
Spearman,LDA,SVM_0.5,NaN,NaN
Spearman,LDA,SVM_1,NaN,NaN
Spearman,Sin reducción,NeuralNetwork_100,NaN,NaN
Spearman,Sin reducción,KNN_10,NaN,NaN
Spearman,Sin reducción,KNN_20,NaN,NaN
Spearman,Sin reducción,NeuralNetwork_50,NaN,NaN
Spearman,Sin reducción,NeuralNetwork_100_50,NaN,NaN
Spearman,Sin reducción,SVM_0.1,NaN,NaN
Spearman,Sin reducción,KNN_1,NaN,NaN
Spearman,Sin reducción,SVM_0.5,NaN,NaN
Spearman,Sin reducción,SVM_1,NaN,NaN
