Filter,Reduction,Model,Accuracy_Mean,F1_Score,B_Accuracy_mean,B_accuracy_list
Sin_Filtrado,PCA_95,AdaBoost,0.6789788158609451,0.6607085083439388,0.6803221350777221,0.69891;0.66974;0.65539;0.73831;0.6353
Sin_Filtrado,Sin_Reduccion,AdaBoost200,0.68647474198805,0.622646471716636,0.6838477322472418,0.69959;0.74708;0.74516;0.56501;0.6598
Sin_Filtrado,PCA_95,AdaBoost300,0.7175448126018468,0.7080431513096237,0.7188551830988621,0.69365;0.73162;0.72019;0.77213;0.67699
Sin_Filtrado,Sin_Reduccion,AdaBoost400,0.693862031504617,0.6456794544091622,0.6976112111270117,0.68637;0.75629;0.7776;0.57012;0.69961
Sin_Filtrado,PCA_95,Bagging_KNN_10,0.8874524714828897,0.8857751406392325,0.8859763277333672,0.88429;0.88673;0.88089;0.91101;0.86613
Sin_Filtrado,Sin_Reduccion,Bagging_KNN_50,0.8958174904942966,0.8942811116605005,0.8941599036419523,0.89915;0.88716;0.88855;0.92028;0.87459
Sin_Filtrado,PCA_95,EvoTree_100,0.8814774579033134,0.8778131609219004,0.8786532086294876,0.90069;0.87467;0.89897;0.88948;0.82665
Sin_Filtrado,Sin_Reduccion,EvoTree_50,0.9181966322650734,0.916742337306383,0.9171557828324872,0.94231;0.88292;0.91685;0.91872;0.92454
