Filter,Reduction,Model,Accuracy_List,Accuracy_Mean,F1_Score,B_Accuracy
Pearson,PCA,NeuralNetwork_50,0.9242802824551873,0.9242802824551873,0.9241842638208391,0.9248648623441953
Pearson,PCA,SVM_0.1,0.91450298750679,0.91450298750679,0.9142468220814655,0.915044686807431
Pearson,PCA,SVM_0.5,0.9310157523085281,0.9310157523085281,0.929918719248135,0.930680585672321
Pearson,PCA,SVM_1.0,0.9341662140141228,0.9341662140141228,0.9331677654423209,0.9339083428816879
Pearson,Sin reducción,KNN_1,0.850190114068441,0.850190114068441,0.848074694745103,0.8471996996837673
Pearson,Sin reducción,KNN_10,0.8865833785985877,0.8865833785985877,0.8858141332308337,0.884221021810872
Pearson,Sin reducción,KNN_20,0.8822379141770778,0.8822379141770778,0.8814540307904863,0.8795785506859811
Pearson,Sin reducción,NeuralNetwork_100,0.903096143400326,0.903096143400326,0.9009684012329302,0.9034995412967115
Pearson,Sin reducción,NeuralNetwork_100_50,0.8915806626833243,0.8915806626833243,0.889167314928778,0.8918140148784722
Pearson,Sin reducción,NeuralNetwork_50,0.889082020640956,0.889082020640956,0.8854378504880531,0.8890484577365593
Pearson,Sin reducción,SVM_0.1,0.9029875067897881,0.9029875067897881,0.9033725182993194,0.9041255096903974
Pearson,Sin reducción,SVM_0.5,0.9266702878870179,0.9266702878870179,0.9260491239838922,0.9268013221365201
Pearson,Sin reducción,SVM_1.0,0.932753938077132,0.932753938077132,0.9319843865493185,0.9327491582967038
RFE,ICA,KNN_1,0.5921781640412819,0.5921781640412819,0.5903078058010132,0.5912741252760938
RFE,ICA,KNN_10,0.6360673546985334,0.6360673546985334,0.6330681229335149,0.6356062548135866
RFE,ICA,KNN_20,0.6501901140684411,0.6501901140684411,0.6457938378459633,0.6497002915967149
RFE,ICA,NeuralNetwork_100,0.5941336230309615,0.5941336230309615,0.5781228742505136,0.5952646982325038
RFE,ICA,NeuralNetwork_100_50,0.5903313416621401,0.5903313416621401,0.5684235003579344,0.5893225852194315
RFE,ICA,NeuralNetwork_50,0.6015209125475286,0.6015209125475286,0.5872648660646865,0.6022378783776497
RFE,ICA,SVM_0.1,0.6588810429114611,0.6588810429114611,0.6458248217139365,0.6590603899611116
RFE,ICA,SVM_0.5,0.6696360673546986,0.6696360673546986,0.6584218946167162,0.6689374441911365
RFE,ICA,SVM_1.0,0.6701792504073872,0.6701792504073872,0.6593349616759662,0.6692381617312578
RFE,LDA,KNN_1,0.9538294405214558,0.9538294405214558,0.9541179326284034,0.9544510265288364
RFE,LDA,KNN_10,0.9598044541010321,0.9598044541010321,0.9597447836173503,0.9600615636257013
RFE,LDA,KNN_20,0.9603476371537208,0.9603476371537208,0.9603499116983911,0.9605954344672198
