Model,Accuracy,F1,B_Accuracy
RandomForest,0.8692870201096892,0.8429453838553499,0.851547197452873
Stacking,0.9552102376599635,0.9497469353637534,0.9493061003128117
HardVoting_Wrapper,0.9003656307129799,0.8773747564796467,0.8834989184857875
XGBoost,0.9095063985374772,0.8944415940967,0.8980079437713666
LightGBM,0.8985374771480804,0.883443528554575,0.8879876182728532
