Filter,Reduction,Model,Accuracy_List,Accuracy_Mean,F1_Score,B_Accuracy
Sin_Filtrado,PCA_95,AdaBoost_SVM,ERROR,NaN,NaN,NaN
Sin_Filtrado,PCA_95,Bagging_KNN_10,0.8939706681151549,0.8939706681151549,0.8941445374864386,0.8939994692018345
Sin_Filtrado,PCA_95,Bagging_KNN_50,0.8931015752308529,0.8931015752308529,0.8933026685919195,0.8931972098559763
Sin_Filtrado,PCA_95,EvoTree_100,0.8892992938620315,0.8892992938620315,0.8882394711326436,0.8887769092580216
Sin_Filtrado,PCA_95,EvoTree_50,0.8770233568712656,0.8770233568712656,0.8757658716428225,0.8762350767555734
Sin_Filtrado,Sin_Reduccion,AdaBoost_SVM,ERROR,NaN,NaN,NaN
